,Player,Pos,Age,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
162,Milton Doyle,SG,24.0,10.0,0.0,12.5,1.3,4.7,0.4,2.3,0.9,2.4,0.4,0.8,0.3,1.5,1.0,0.6,0.2,0.2,1.3
163,PJ Dozier,PG,21.0,2.0,0.0,1.5,0.5,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5
164,Goran Dragic,PG,31.0,75.0,75.0,31.7,6.5,14.3,1.5,4.0,5.0,10.3,2.9,3.6,0.7,3.4,4.8,0.8,0.2,2.2,2.4
165,Larry Drew,PG,27.0,10.0,0.0,7.0,0.7,2.4,0.3,0.9,0.4,1.5,0.0,0.0,0.3,0.0,1.0,0.0,0.0,0.3,0.6
168,Andre Drummond,C,24.0,78.0,78.0,33.7,6.0,11.3,0.0,0.1,6.0,11.2,3.1,5.1,5.1,10.9,3.0,1.5,1.6,2.6,3.2
169,Jared Dudley,PF,32.0,48.0,0.0,14.3,1.0,2.5,0.6,1.7,0.4,0.9,0.6,0.7,0.2,1.8,1.6,0.5,0.2,0.6,1.8
170,Kris Dunn,PG,23.0,52.0,43.0,29.3,5.5,12.8,0.8,2.6,4.7,10.2,1.6,2.2,0.5,3.8,6.0,2.0,0.5,2.9,3.4
171,Kevin Durant,PF,29.0,68.0,68.0,34.2,9.3,18.0,2.5,6.1,6.7,11.9,5.3,5.9,0.5,6.4,5.4,0.7,1.8,3.0,2.0
172,Jarell Eddie,SF,26.0,3.0,0.0,3.0,0.0,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0
175,Henry Ellenson,PF,21.0,38.0,0.0,8.7,1.4,3.8,0.5,1.6,0.9,2.3,0.7,0.8,0.3,1.9,0.5,0.1,0.0,0.5,0.6
176,Wayne Ellington,SG,30.0,77.0,2.0,26.5,3.7,9.1,2.9,7.5,0.8,1.6,0.9,1.0,0.3,2.5,1.0,0.7,0.1,0.7,1.2
177,Joel Embiid,C,23.0,63.0,63.0,30.3,8.1,16.8,1.0,3.4,7.0,13.4,5.7,7.4,2.3,8.7,3.2,0.6,1.8,3.7,3.3
